SnapshotTime,StartTime,Strategy,Symbol,Strike,Type,Action,EntryPrice,CurrentLTP,PnL,PnL_Percent,Delta
2:10:00 pm,1:30:24 pm,Short Straddle,NSE:BANKNIFTY26FEB59400CE,59400,CE,SELL,1066.00,1015.05,1528.50,4.78%,N/A
2:10:00 pm,1:30:24 pm,Short Straddle,NSE:BANKNIFTY26FEB59400PE,59400,PE,SELL,788.65,819.35,-921.00,-3.89%,N/A
2:10:00 pm,1:30:27 pm,Long Straddle,NSE:BANKNIFTY26FEB59400CE,59400,CE,BUY,1066.00,1015.05,-1528.50,-4.78%,N/A
2:10:00 pm,1:30:27 pm,Long Straddle,NSE:BANKNIFTY26FEB59400PE,59400,PE,BUY,788.65,819.35,921.00,3.89%,N/A
2:10:00 pm,1:30:31 pm,Short Strangle,NSE:BANKNIFTY26FEB58900PE,58900,PE,SELL,603.55,627.30,-712.50,-3.94%,N/A
2:10:00 pm,1:30:31 pm,Short Strangle,NSE:BANKNIFTY26FEB59900CE,59900,CE,SELL,793.30,756.95,1090.50,4.58%,N/A
2:10:00 pm,1:30:35 pm,Long Strangle,NSE:BANKNIFTY26FEB58900PE,58900,PE,BUY,603.55,627.30,712.50,3.94%,N/A
2:10:00 pm,1:30:35 pm,Long Strangle,NSE:BANKNIFTY26FEB59900CE,59900,CE,BUY,793.30,756.95,-1090.50,-4.58%,N/A
2:10:00 pm,1:30:40 pm,Iron Condor,NSE:BANKNIFTY26FEB58900PE,58900,PE,SELL,603.55,627.30,-712.50,-3.94%,N/A
2:10:00 pm,1:30:40 pm,Iron Condor,NSE:BANKNIFTY26FEB58400PE,58400,PE,BUY,455.70,471.30,468.00,3.42%,N/A
2:10:00 pm,1:30:40 pm,Iron Condor,NSE:BANKNIFTY26FEB59900CE,59900,CE,SELL,793.30,756.95,1090.50,4.58%,N/A
2:10:00 pm,1:30:40 pm,Iron Condor,NSE:BANKNIFTY26FEB60400CE,60400,CE,BUY,574.00,547.60,-792.00,-4.60%,N/A
2:10:00 pm,1:30:44 pm,Iron Butterfly,NSE:BANKNIFTY26FEB58900PE,58900,PE,BUY,603.55,627.30,712.50,3.94%,N/A
2:10:00 pm,1:30:44 pm,Iron Butterfly,NSE:BANKNIFTY26FEB59400PE,59400,PE,SELL,788.65,819.35,-921.00,-3.89%,N/A
2:10:00 pm,1:30:44 pm,Iron Butterfly,NSE:BANKNIFTY26FEB59400CE,59400,CE,SELL,1066.00,1015.05,1528.50,4.78%,N/A
2:10:00 pm,1:30:44 pm,Iron Butterfly,NSE:BANKNIFTY26FEB59900CE,59900,CE,BUY,793.30,756.95,-1090.50,-4.58%,N/A
2:10:00 pm,1:30:49 pm,Call Butterfly,NSE:BANKNIFTY26FEB58900CE,58900,CE,BUY,1376.85,1312.30,-1936.50,-4.69%,N/A
2:10:00 pm,1:30:49 pm,Call Butterfly,NSE:BANKNIFTY26FEB59400CE,59400,CE,SELL,1066.00,1015.05,3057.00,4.78%,N/A
2:10:00 pm,1:30:49 pm,Call Butterfly,NSE:BANKNIFTY26FEB59900CE,59900,CE,BUY,793.30,756.95,-1090.50,-4.58%,N/A
